,Account or Security,Coupon,Date,Quantity,Cost Value,Market Value,Bank,Asset Type,Company,Industry,Private Placement,Info,Ticker
93,AT&T INC 4.35% DUE 03-01-2029/,4.35,2029-03-01,745000.0,741334.6,862603.46,9-200100-Neuberger Intermediate,Corporate Bonds,AT&T  INC,,False,<class 'object'>,T
94,B A T CAP CORP 2.259% DUE ,2.26,2028-03-25,1270000.0,1270000.0,1260473.3,9-200100-Neuberger Intermediate,Corporate Bonds,B A T  CAP,,False,<class 'object'>,BZ=F
95,BANK AMER CORP 2.592% DUE ,2.59,1931-04-29,330000.0,330000.0,340209.27,9-200100-Neuberger Intermediate,Corporate Bonds,BANK OF AMERICA CO,,False,<class 'object'>,BAC
96,BANK AMER CORP 3.366% DUE 01-2,3.37,2026-01-23,810000.0,781836.3,873337.97,9-200100-Neuberger Intermediate,Corporate Bonds,BANK OF AMERICA CO,,False,<class 'object'>,BAC
97,BOEING CO 1.433% 02-04-2024 ,1.43,2024-02-04,1735000.0,1735000.0,1739591.5,9-200100-Neuberger Intermediate,Corporate Bonds,BOEING  CO,,False,<class 'object'>,BA
98,BOEING CO FIXED 5.15% DUE 05-0,5.15,1930-05-01,1495000.0,1495000.0,1770311.67,9-200100-Neuberger Intermediate,Corporate Bonds,BOEING  CO,,False,<class 'object'>,BA
99,CHARTER COMMUNICATIONS OPER LL,4.46,2022-07-23,250000.0,254345.0,258822.19,9-200100-Neuberger Intermediate,Corporate Bonds,CHARTER  CO,,False,<class 'object'>,CHTR
100,CHARTER COMMUNICATIONS OPER LL,2.8,1931-04-01,775000.0,771597.75,792291.42,9-200100-Neuberger Intermediate,Corporate Bonds,CHARTER  CO,,False,<class 'object'>,CHTR
101,CITIGROUP INC 2.876% DUE ,2.88,2023-07-24,530000.0,530000.0,543607.59,9-200100-Neuberger Intermediate,Corporate Bonds,CITIGROUP  INC,,False,<class 'object'>,C
102,COMCAST CORP NEW 1.5% DUE ,1.5,1931-02-15,1130000.0,1126191.9,1070648.48,9-200100-Neuberger Intermediate,Corporate Bonds,COMCAST  CO,,False,<class 'object'>,CMCSA
103,CROWN CASTLE INTL CORP 2.1% DU,2.1,1931-04-01,215000.0,214023.9,209522.92,9-200100-Neuberger Intermediate,Corporate Bonds,CROWN CASTLE INTL,,False,<class 'object'>,CCI
104,CROWN CASTLE INTL CORP NEW 1.0,1.05,2026-07-15,215000.0,214324.9,209979.08,9-200100-Neuberger Intermediate,Corporate Bonds,CROWN CASTLE INTL,,False,<class 'object'>,CCI
105,CVS HEALTH CORP 1.3% DUE 08-21,1.3,2027-08-21,575000.0,573390.0,564020.81,9-200100-Neuberger Intermediate,Corporate Bonds,CVS HEALTH  CO,,False,<class 'object'>,CVS
106,DIAMONDBACK ENERGY INC 3.125% ,3.13,1931-03-24,385000.0,383687.15,398997.07,9-200100-Neuberger Intermediate,Corporate Bonds,DIAMONDBACK ENERGY  INC,,False,<class 'object'>,FANG
107,DISNEY WALT CO 3.8% DUE 03-22-,3.8,1930-03-22,420000.0,418824.0,479624.55,9-200100-Neuberger Intermediate,Corporate Bonds,DISNEY WALT  CO,,False,<class 'object'>,DIS
108,DUKE ENERGY CORP NEW SR NT 2.5,2.55,1931-06-15,745000.0,744016.6,753882.89,9-200100-Neuberger Intermediate,Corporate Bonds,DUKE ENERGY CO,,False,<class 'object'>,DUK
109,ENTERGY TEX INC 1.75% DUE ,1.75,1931-03-15,375000.0,373612.5,359309.21,9-200100-Neuberger Intermediate,Corporate Bonds,ENTERGY CO,,False,<class 'object'>,ETR
110,EVERGY INC 2.45% DUE ,2.45,2024-09-15,545000.0,544051.7,570745.8,9-200100-Neuberger Intermediate,Corporate Bonds,EVERGY  INC,,False,<class 'object'>,EVRG
111,EXXON MOBIL CORP 2.61% DUE ,2.61,1930-10-15,770000.0,770000.0,811572.95,9-200100-Neuberger Intermediate,Corporate Bonds,EXXON MOBIL  CO,,False,<class 'object'>,NO_TICKER_FOUND
112,FOX CORP 4.709% 01-25-2029 ,4.71,2029-01-25,735000.0,894450.9,862930.97,9-200100-Neuberger Intermediate,Corporate Bonds,FOX  CO,,False,<class 'object'>,FOX
113,GE CAP FDG LLC 4.05% DUE ,4.05,2027-05-15,1395000.0,1569244.58,1578842.38,9-200100-Neuberger Intermediate,Corporate Bonds,GE  CAP,,False,<class 'object'>,CGEO.L
114,GENERAL ELEC CO 3.45% DUE ,3.45,2027-05-01,920000.0,918574.0,1011327.53,9-200100-Neuberger Intermediate,Corporate Bonds,GENERAL ELEC  CO,,False,<class 'object'>,GE
115,GENERAL MTRS CO 6.8% DUE 10-01,6.8,2027-10-01,495000.0,493886.25,623486.25,9-200100-Neuberger Intermediate,Corporate Bonds,GENERAL MOTORS,,False,<class 'object'>,GM
116,GOLDMAN SACHS GROUP INC 1.992%,1.99,1932-01-27,385000.0,385000.0,373909.85,9-200100-Neuberger Intermediate,Corporate Bonds,GOLDMAN SACHS GROUP  INC,,False,<class 'object'>,GS
117,GOLDMAN SACHS GROUP INC 3.272%,3.27,2025-09-29,560000.0,559813.48,599078.81,9-200100-Neuberger Intermediate,Corporate Bonds,GOLDMAN SACHS GROUP  INC,,False,<class 'object'>,GS
118,GOLDMAN SACHS GROUP INC 3.691%,3.69,2028-06-05,460000.0,440712.2,507889.92,9-200100-Neuberger Intermediate,Corporate Bonds,GOLDMAN SACHS GROUP  INC,,False,<class 'object'>,GS
119,HSBC HLDGS PLC 2.013% DUE ,2.01,2028-09-22,390000.0,390000.0,391328.6,9-200100-Neuberger Intermediate,Corporate Bonds,HSBC HLDGS PLC,,False,<class 'object'>,HSBC
120,JPMORGAN CHASE & CO 2.956% DUE,2.96,1931-05-13,390000.0,390000.0,409697.59,9-200100-Neuberger Intermediate,Corporate Bonds,JPMORGAN CHASE &  CO,,False,<class 'object'>,JPM
121,JPMORGAN CHASE & CO 3.22% DUE ,3.22,2025-03-01,790000.0,796521.38,839241.16,9-200100-Neuberger Intermediate,Corporate Bonds,JPMORGAN CHASE &  CO,,False,<class 'object'>,JPM
122,JPMORGAN CHASE & CO 3.782% DUE,3.78,2028-02-01,785000.0,766960.7,871703.86,9-200100-Neuberger Intermediate,Corporate Bonds,JPMORGAN CHASE &  CO,,False,<class 'object'>,JPM
123,KINDER MORGAN ENERGY PARTNERS ,4.15,2024-02-01,450000.0,456715.99,485896.12,9-200100-Neuberger Intermediate,Corporate Bonds,KINDER MORGAN INC,,False,<class 'object'>,KMI
124,KINDER MORGAN INC DEL 4.3% DUE,4.3,2025-06-01,460000.0,465188.8,512162.53,9-200100-Neuberger Intermediate,Corporate Bonds,KINDER MORGAN INC,,False,<class 'object'>,KMI
125,MARATHON PETE CORP 4.5% DUE 05,4.5,2023-05-01,1505000.0,1504112.05,1605013.36,9-200100-Neuberger Intermediate,Corporate Bonds,MARATHON PETE  CO,,False,<class 'object'>,MARA
126,MITSUBISHI UFJ FINL GROUP INC ,2.62,2022-07-18,855000.0,855000.0,876058.88,9-200100-Neuberger Intermediate,Corporate Bonds,MITSUBISHI UFJ FINL GROUP  INC,,False,<class 'object'>,MUFG
127,MORGAN STANLEY 1.928% DUE 04-2,1.93,1932-04-28,385000.0,385000.0,374230.88,9-200100-Neuberger Intermediate,Corporate Bonds,MORGAN STANLEY,,False,<class 'object'>,MS
128,MORGAN STANLEY 3.625% DUE 01-2,3.63,2027-01-20,570000.0,572625.74,632027.37,9-200100-Neuberger Intermediate,Corporate Bonds,MORGAN STANLEY,,False,<class 'object'>,MS
129,MORGAN STANLEY FORMERLY MORGAN,3.77,2029-01-24,595000.0,637875.7,667784.94,9-200100-Neuberger Intermediate,Corporate Bonds,MORGAN STANLEY,,False,<class 'object'>,MS
130,ORACLE CORP 2.5% DUE 04-01-202,2.5,2025-04-01,1265000.0,1264531.95,1328803.58,9-200100-Neuberger Intermediate,Corporate Bonds,ORACLE  CO,,False,<class 'object'>,ORCL
131,ORACLE CORP 2.875% DUE 03-25-2,2.88,1931-03-25,1155000.0,1153209.75,1201290.45,9-200100-Neuberger Intermediate,Corporate Bonds,ORACLE  CO,,False,<class 'object'>,ORCL
132,PACIFIC GAS & ELEC CO 2.5% DUE,2.5,1931-02-01,690000.0,689282.4,646907.06,9-200100-Neuberger Intermediate,Corporate Bonds,PACIFIC GAS & ELEC  CO,,False,<class 'object'>,PCG
133,PHILIP MORRIS INTL INC 1.75% D,1.75,1930-11-01,460000.0,455363.2,444511.13,9-200100-Neuberger Intermediate,Corporate Bonds,PHILIP MORRIS INTL  INC,,False,<class 'object'>,4I1.DU
134,PIONEER NAT RES CO 1.125% DUE ,1.13,2026-01-15,775000.0,774852.75,767379.43,9-200100-Neuberger Intermediate,Corporate Bonds,PIONEER NAT RES  CO,,False,<class 'object'>,PXD
135,PVTPL 7-ELEVEN INC 1.8% DUE ,1.8,1931-02-10,925000.0,924491.25,884233.76,9-200100-Neuberger Intermediate,Corporate Bonds,7-ELEVEN  INC,,True,<class 'object'>,5250.KL
136,PVTPL BROADCOM INC 3.419% DUE ,3.42,1933-04-15,570000.0,573022.17,598593.63,9-200100-Neuberger Intermediate,Corporate Bonds,BROADCOM  INC,,True,<class 'object'>,AVGO
137,PVTPL BROADCOM INC SR NT 144A ,3.15,2025-11-15,215000.0,232026.12,230432.78,9-200100-Neuberger Intermediate,Corporate Bonds,BROADCOM  INC,,True,<class 'object'>,AVGO
138,PVTPL CARRIER GLOBAL CORP 2.72,2.72,1930-02-15,145000.0,153533.34,150323.87,9-200100-Neuberger Intermediate,Corporate Bonds,CARRIER GLOBAL  CO,,True,<class 'object'>,CARR
139,PVTPL MARVELL TECHNOLOGY INC 2,2.45,2028-04-15,470000.0,473572.0,479028.68,9-200100-Neuberger Intermediate,Corporate Bonds,MARVELL TECHNOLOGY  INC,,True,<class 'object'>,MRVL
140,PVTPL MARVELL TECHNOLOGY INC 2,2.95,1931-04-15,545000.0,546051.85,564822.18,9-200100-Neuberger Intermediate,Corporate Bonds,MARVELL TECHNOLOGY  INC,,True,<class 'object'>,MRVL
141,PVTPL T-MOBILE USA INC SR SECD,3.88,1930-04-15,675000.0,724194.0,754528.5,9-200100-Neuberger Intermediate,Corporate Bonds,T-MOBILE USA  INC,,True,<class 'object'>,TMUS
142,PVTPL VOLKSWAGEN GROUP AMER FI,3.13,2023-05-12,920000.0,919558.4,960681.25,9-200100-Neuberger Intermediate,Corporate Bonds,VOLKSWAGEN GROUP,,True,<class 'object'>,VOW3.DE
143,PVTPL VOLKSWAGEN GROUP AMER FI,3.35,2025-05-13,705000.0,704259.75,760770.74,9-200100-Neuberger Intermediate,Corporate Bonds,VOLKSWAGEN GROUP,,True,<class 'object'>,VOW3.DE
144,PVTPLCARRIER GLOBAL CORP  2.49,2.49,2027-02-15,450000.0,478915.34,470988.61,9-200100-Neuberger Intermediate,Corporate Bonds,ARRIER GLOBAL  CO,,True,<class 'object'>,NO_TICKER_FOUND
145,T-MOBILE USA INC 3.75% DUE ,3.75,2027-04-15,1395000.0,1534215.42,1541475.0,9-200100-Neuberger Intermediate,Corporate Bonds,T-MOBILE USA  INC,,False,<class 'object'>,TMUS
146,VERIZON COMMUNICATIONS 2.1% DU,2.1,2028-03-22,765000.0,764655.75,781000.19,9-200100-Neuberger Intermediate,Corporate Bonds,VERIZON  CO,,False,<class 'object'>,VZ
147,VERIZON COMMUNICATIONS 2.55% D,2.55,1931-03-21,810000.0,806670.9,827921.3,9-200100-Neuberger Intermediate,Corporate Bonds,VERIZON  CO,,False,<class 'object'>,VZ
148,VERIZON COMMUNICATIONS INC 1.7,1.75,1931-01-20,290000.0,286360.5,277918.05,9-200100-Neuberger Intermediate,Corporate Bonds,VERIZON  CO,,False,<class 'object'>,VZ
149,VOLKSWAGEN GROUP AMER FIN LLC ,4.25,2023-11-13,435000.0,443642.96,470130.16,9-200100-Neuberger Intermediate,Corporate Bonds,VOLKSWAGEN GROUP,,False,<class 'object'>,VOW3.DE
150,WELLS FARGO & CO 2.879% DUE ,2.88,1930-10-30,700000.0,700000.0,741277.41,9-200100-Neuberger Intermediate,Corporate Bonds,WELLS FARGO &  CO,,False,<class 'object'>,WFC
151,WELLS FARGO & CO MEDIUM TERM S,2.19,2026-04-30,1285000.0,1285000.0,1334078.36,9-200100-Neuberger Intermediate,Corporate Bonds,WELLS FARGO &  CO,,False,<class 'object'>,WFC
577,Corporate Bonds,,,,,,9-200100-Income Research Intermediate,Corporate Bonds,Corporate Bonds,,False,<class 'object'>,
578,ADVENTIST HEALTH SYS/WEST 2.43,2.43,2024-09-01,784000.0,784000.0,805289.48,9-200100-Income Research Intermediate,Corporate Bonds,ADVENTIST HEALTH SYS/WEST 2.43,,False,<class 'object'>,NO_TICKER_FOUND
579,AERCAP IRELAND CAP DESIGNATED ,4.45,2021-12-16,516000.0,515360.16,523835.01,9-200100-Income Research Intermediate,Corporate Bonds,AERCAP IRELAND  CAP,,False,<class 'object'>,AER
580,AMER AIRLINES 3.15% 08-15-2033,3.15,1933-08-15,647914.02,647914.02,667283.47,9-200100-Income Research Intermediate,Corporate Bonds,AMER AIRLINES,,False,<class 'object'>,AAL
581,AMERICAN EXPRESS CO 3.7% DUE 0,3.7,2023-08-03,1372000.0,1380369.2,1461058.52,9-200100-Income Research Intermediate,Corporate Bonds,AMERICAN EXPRESS CO,,False,<class 'object'>,AXP
582,ANHEUSER-BUSCH COS LLC CORP 3.,3.65,2026-02-01,1275000.0,1286670.07,1407835.43,9-200100-Income Research Intermediate,Corporate Bonds,ANHEUSER-BUSCH CO,,False,<class 'object'>,BUD
583,ANHEUSER-BUSCH INBEV WORLDWIDE,4.75,2029-01-23,163000.0,198529.11,194176.14,9-200100-Income Research Intermediate,Corporate Bonds,ANHEUSER-BUSCH CO,,False,<class 'object'>,BUD
584,AQUARION CO 4.0% DUE ,4,2024-08-15,1380000.0,1515488.4,1495447.6,9-200100-Income Research Intermediate,Corporate Bonds,AQUARION  CO,,False,<class 'object'>,NO_TICKER_FOUND
585,ASCENSION 2.532% DUE ,2.53,2029-11-15,1759000.0,1822170.45,1848968.28,9-200100-Income Research Intermediate,Corporate Bonds,ASCENSION,,False,<class 'object'>,NO_TICKER_FOUND
586,AT&T INC 1.49838% DUE 06-12-20,1.3,2024-06-12,833000.0,815448.69,854633.01,9-200100-Income Research Intermediate,Corporate Bonds,AT&T  INC,,False,<class 'object'>,T
587,AT&T INC SR NT 144A ZERO CPN C,0,2022-11-27,3000000.0,2544890.0,2975430.36,9-200100-Income Research Intermediate,Corporate Bonds,AT&T  INC,,False,<class 'object'>,T
588,BAE SYS PLC 3.4% DUE ,3.4,1930-04-15,744000.0,792709.68,808656.96,9-200100-Income Research Intermediate,Corporate Bonds,BAE SYS PLC,,False,<class 'object'>,NO_TICKER_FOUND
589,BANK AMER CORP 3.419% 12-20-20,3.42,2028-12-20,596000.0,669238.68,649109.21,9-200100-Income Research Intermediate,Corporate Bonds,BANK OF AMERICA CO,,False,<class 'object'>,BAC
590,BANK AMER CORP 3.5% DUE ,3.5,2026-04-19,503000.0,518933.44,554134.41,9-200100-Income Research Intermediate,Corporate Bonds,BANK OF AMERICA CO,,False,<class 'object'>,BAC
591,BANK AMER CORP 3.559% DUE ,3.56,2027-04-23,320000.0,351820.8,350471.58,9-200100-Income Research Intermediate,Corporate Bonds,BANK OF AMERICA CO,,False,<class 'object'>,BAC
592,BANK NOVA SCOTIA B C 1.625% DU,1.63,2023-05-01,1600000.0,1602192.0,1635127.73,9-200100-Income Research Intermediate,Corporate Bonds,BANK OF NOVA SCOTIA,,False,<class 'object'>,BNS.TO
593,BANK OF AMERICA CORP 1.734% 07,1.73,2027-07-22,1030000.0,1030000.0,1037921.93,9-200100-Income Research Intermediate,Corporate Bonds,BANK OF AMERICA  CO,,False,<class 'object'>,NO_TICKER_FOUND
594,BERKSHIRE HATHAWAY ENERGY CO 3,3.5,2025-02-01,1400000.0,1454558.0,1512314.38,9-200100-Income Research Intermediate,Corporate Bonds,BERKSHIRE HATHAWAY ENERGY  CO,,False,<class 'object'>,BRK-B
595,BROADCOM INC 4.11% DUE 09-15-2,4.11,2028-09-15,936000.0,1066019.05,1052941.48,9-200100-Income Research Intermediate,Corporate Bonds,BROADCOM  INC,,False,<class 'object'>,AVGO
596,CAPITAL ONE FINL CORP 3.9% DUE,3.9,2024-01-29,1608000.0,1607405.04,1735385.76,9-200100-Income Research Intermediate,Corporate Bonds,CAPITAL ONE FINL CO,,False,<class 'object'>,NLY
597,CHARTER COMMUNICATIONS OPER LL,4.91,2025-07-23,1879000.0,1981827.28,2128739.68,9-200100-Income Research Intermediate,Corporate Bonds,CHARTER  CO,,False,<class 'object'>,CHTR
598,CIGNA CORP NEW CORP 4.125% 11-,4.13,2025-11-15,838000.0,908231.04,939095.83,9-200100-Income Research Intermediate,Corporate Bonds,CIGNA  CO,,False,<class 'object'>,CGN.MU
599,CITIGROUP INC 3.2% DUE ,3.2,2026-10-21,544000.0,557268.16,589293.75,9-200100-Income Research Intermediate,Corporate Bonds,CITIGROUP  INC,,False,<class 'object'>,C
600,COMCAST CORP NEW 3.95% ,3.95,2025-10-15,613000.0,683795.37,686854.39,9-200100-Income Research Intermediate,Corporate Bonds,COMCAST  CO,,False,<class 'object'>,CMCSA
601,COMMONSPIRIT HEALTH 1.547% DUE,1.55,2025-10-01,1045000.0,1045000.0,1053945.33,9-200100-Income Research Intermediate,Corporate Bonds,COMMONSPIRIT HEALTH,,False,<class 'object'>,NO_TICKER_FOUND
602,CREDIT SUISSE GROUP AG 1.305% ,1.31,2027-02-02,653000.0,653000.0,639581.24,9-200100-Income Research Intermediate,Corporate Bonds,CREDIT SUISSE GROUP AG,,False,<class 'object'>,NO_TICKER_FOUND
603,DELTA AIR LINES INC DEL 2.0% 1,2,2029-12-10,1462020.44,1462020.44,1469660.89,9-200100-Income Research Intermediate,Corporate Bonds,DELTA AIR LINES,,False,<class 'object'>,DAL
604,DELTA AIR LINES PASS THRU TR 2,3.63,2027-07-30,497718.62,505806.54,534440.95,9-200100-Income Research Intermediate,Corporate Bonds,DELTA AIR LINES,,False,<class 'object'>,DAL
605,DIGITAL RLTY TR LP FIXED 3.7% ,3.7,2027-08-15,981000.0,993792.24,1098024.9,9-200100-Income Research Intermediate,Corporate Bonds,DIGITAL RLTY TR  LP,,False,<class 'object'>,MARA
606,DISNEY WALT CO 3.35% DUE 03-24,3.35,2025-03-24,1200000.0,1309956.0,1306054.06,9-200100-Income Research Intermediate,Corporate Bonds,DISNEY WALT  CO,,False,<class 'object'>,DIS
607,DTE ENERGY CO FIXED 1.05% DUE ,1.05,2025-06-01,959000.0,961742.74,958733.97,9-200100-Income Research Intermediate,Corporate Bonds,DTE ELEC,,False,<class 'object'>,DTE
608,EQUITABLE FINL LIFE GLOBAL FDG,1.4,2025-07-07,1268000.0,1265679.56,1278658.52,9-200100-Income Research Intermediate,Corporate Bonds,EQUITABLE FINL LIFE GLOBAL FDG,,False,<class 'object'>,EQH
609,EVERSOURCE ENERGY 2.75% DUE ,2.75,2022-03-15,634000.0,633112.4,643281.74,9-200100-Income Research Intermediate,Corporate Bonds,EVERSOURCE ENERGY,,False,<class 'object'>,NU
610,EXELON CORP 3.95% DUE ,3.95,2025-06-15,1335000.0,1447242.75,1468985.26,9-200100-Income Research Intermediate,Corporate Bonds,EXELON  CO,,False,<class 'object'>,EXC
611,FEDERAL RLTY INVT TR 1.25% DUE,1.25,2026-02-15,1264000.0,1255644.96,1254797.51,9-200100-Income Research Intermediate,Corporate Bonds,FEDERAL RLTY INVT TR,,False,<class 'object'>,FNMA
612,GENERAL MTRS FINL CO INC 4.15%,4.15,2023-06-19,1469000.0,1468775.56,1560172.22,9-200100-Income Research Intermediate,Corporate Bonds,GENERAL MOTORS,,False,<class 'object'>,GM
613,GOLDMAN SACHS GROUP INC 3.8% D,3.8,1930-03-15,1000000.0,992040.0,1123894.67,9-200100-Income Research Intermediate,Corporate Bonds,GOLDMAN SACHS GROUP  INC,,False,<class 'object'>,GS
614,HEALTHCARE TR AMER HLDGS LP 3.,3.1,1930-02-15,1090000.0,1177134.6,1157663.36,9-200100-Income Research Intermediate,Corporate Bonds,HEALTHCARE TR AMER HLDGS  LP,,False,<class 'object'>,GEHC
615,HEWLETT PACKARD ENTERPRISE CO ,4.4,2022-10-15,1350000.0,1415353.5,1408691.15,9-200100-Income Research Intermediate,Corporate Bonds,HEWLETT PACKARD ENTERPRISE CO,,False,<class 'object'>,HPE
616,INFOR INC 1.45% DUE ,1.45,2023-07-15,1037000.0,1036678.53,1048700.47,9-200100-Income Research Intermediate,Corporate Bonds,INFOR  INC,,False,<class 'object'>,INFA
617,INTERSTATE PWR & LT CO 2.3% DU,2.3,1930-06-01,1117000.0,1116693.23,1131601.57,9-200100-Income Research Intermediate,Corporate Bonds,INTERSTATE PWR & LT  CO,,False,<class 'object'>,FIBK
618,JERSEY CENT PWR & LT CO 4.3% D,4.3,2026-01-15,1119000.0,1135460.49,1238470.33,9-200100-Income Research Intermediate,Corporate Bonds,JERSEY CENT PWR & LT  CO,,False,<class 'object'>,NJR
619,JPMORGAN CHASE & CO 4.203% DUE,4.2,2029-07-23,955000.0,955000.0,1097528.59,9-200100-Income Research Intermediate,Corporate Bonds,JPMORGAN CHASE &  CO,,False,<class 'object'>,JPM
620,LINCOLN NATL CORP IND 3.4% DUE,3.4,1931-01-15,630000.0,628620.3,687960.93,9-200100-Income Research Intermediate,Corporate Bonds,LINCOLN NATL  CO,,False,<class 'object'>,LNC
621,LINCOLN NATL CORP IND 3.625% D,3.63,2026-12-12,866000.0,952894.44,958629.26,9-200100-Income Research Intermediate,Corporate Bonds,LINCOLN NATL  CO,,False,<class 'object'>,LNC
622,LOWES COS INC 4.5% DUE ,4.5,1930-04-15,1300000.0,1538745.0,1537816.15,9-200100-Income Research Intermediate,Corporate Bonds,LOWES  CO,,False,<class 'object'>,LOW
623,MCDONALDS CORP MED TERM 3.5% ,3.5,2027-07-01,1400000.0,1549338.0,1551385.08,9-200100-Income Research Intermediate,Corporate Bonds,MCDONALDS  CO,,False,<class 'object'>,MCD
624,MORGAN STANLEY 3.622% DUE ,3.62,1931-04-01,1100000.0,1211023.0,1227879.75,9-200100-Income Research Intermediate,Corporate Bonds,MORGAN STANLEY,,False,<class 'object'>,MS
625,MORGAN STANLEY 3.7% DUE 10-23-,3.7,2024-10-23,1300000.0,1367561.0,1418299.53,9-200100-Income Research Intermediate,Corporate Bonds,MORGAN STANLEY,,False,<class 'object'>,MS
626,NORTHEAST UTILS 3.15% DUE ,3.15,2025-01-15,625000.0,646868.75,666918.28,9-200100-Income Research Intermediate,Corporate Bonds,NORTHEAST UTILS,,False,<class 'object'>,NBN
627,OCCIDENTAL PETE CORP SR NT 0% ,0,1936-10-10,3913000.0,1862642.78,2034760.0,9-200100-Income Research Intermediate,Corporate Bonds,OCCIDENTAL PETE  CO,,False,<class 'object'>,OXY
628,PAYPAL HLDGS INC 1.35% DUE 06-,1.35,2023-06-01,932000.0,931142.56,948506.05,9-200100-Income Research Intermediate,Corporate Bonds,PAYPAL HLDGS  INC,,False,<class 'object'>,PYPL
629,PEPSICO INC 2.25% DUE 03-19-20,2.25,2025-03-19,606000.0,605569.74,636847.76,9-200100-Income Research Intermediate,Corporate Bonds,PEPSICO  INC,,False,<class 'object'>,PEP
630,PHILLIPS 66 PARTNERS LP 3.605%,3.61,2025-02-15,595000.0,607316.5,640877.56,9-200100-Income Research Intermediate,Corporate Bonds,PHILLIPS 66,,False,<class 'object'>,PSX
631,PVTPL AIA GROUP LTD 3.2% DUE ,3.2,2025-03-11,1455000.0,1500786.07,1546417.65,9-200100-Income Research Intermediate,Corporate Bonds,AIA GROUP  LTD,,True,<class 'object'>,7A2.DU
632,PVTPL AIR CANADA 2015-1A PTT 3,3.6,2028-09-15,511268.55,514503.0,519748.81,9-200100-Income Research Intermediate,Corporate Bonds,AIR CANADA 2015-1A PTT 3,,True,<class 'object'>,NO_TICKER_FOUND
633,PVTPL BAE SYS HLDGS INC GTD NT,3.8,2024-10-07,1858000.0,1967989.52,2021248.86,9-200100-Income Research Intermediate,Corporate Bonds,BAE SYS PLC,,True,<class 'object'>,NO_TICKER_FOUND
634,PVTPL BLACKSTONE HLDGS FIN L L,4.75,2023-02-15,2769000.0,2991607.1,2955757.89,9-200100-Income Research Intermediate,Corporate Bonds,BLACKSTONE,,True,<class 'object'>,BX
635,PVTPL CARLYLE HLDGS FIN LLC 3.,3.88,2023-02-01,775000.0,799345.0,812742.56,9-200100-Income Research Intermediate,Corporate Bonds,CARLYLE HLDGS FIN  LLC,,True,<class 'object'>,CG
636,PVTPL CIGNA CORP NEW NT 3.0% D,3,2023-07-15,900000.0,954912.08,942551.15,9-200100-Income Research Intermediate,Corporate Bonds,CIGNA  CO,,True,<class 'object'>,CGN.MU
637,PVTPL FERGUSON FIN PLC 4.5% ,4.5,2028-10-24,1207000.0,1202775.5,1404645.97,9-200100-Income Research Intermediate,Corporate Bonds,FERGUSON FIN PLC,,True,<class 'object'>,FERG
638,PVTPL FIVE CORNERS FDG TR SECS,4.42,2023-11-15,1000000.0,1074820.0,1090189.67,9-200100-Income Research Intermediate,Corporate Bonds,FIVE  CO,,True,<class 'object'>,3824.F
639,PVTPL HYUNDAI CAP AMER MEDIUM ,2.38,2023-02-10,830000.0,829643.1,851953.54,9-200100-Income Research Intermediate,Corporate Bonds,HYUNDAI  CAP,,True,<class 'object'>,HYMTF
