,Account or Security,Coupon,Date,Quantity,Cost Value,Market Value,Bank,Asset Type,Company,Industry,Private Placement,Info,Ticker
131,CVS HEALTH CORP 1.3% DUE 08-21,1.3,2027-08-21 00:00:00,575000.0,573390.0,495451.77,9-200100-Neuberger Intermediate,Corporate Bonds,CVS HEALTH  CO,,False,<class 'object'>,CVS
132,ENTERGY TEX INC 1.75% DUE ,1.75,1931-03-15 00:00:00,375000.0,373612.5,303254.37,9-200100-Neuberger Intermediate,Corporate Bonds,ENTERGY CO,,False,<class 'object'>,ETR
133,EVERGY INC 2.45% DUE ,2.45,2024-09-15 00:00:00,545000.0,544051.7,524026.46,9-200100-Neuberger Intermediate,Corporate Bonds,EVERGY  INC,,False,<class 'object'>,EVRG
134,GENERAL MTRS CO 6.8% DUE 10-01,6.8,2027-10-01 00:00:00,495000.0,493886.25,521167.09,9-200100-Neuberger Intermediate,Corporate Bonds,GENERAL MOTORS,,False,<class 'object'>,GM
135,GOLDMAN SACHS GROUP INC 1.992%,1.99,1932-01-27 00:00:00,385000.0,385000.0,304126.88,9-200100-Neuberger Intermediate,Corporate Bonds,GOLDMAN SACHS GROUP  INC,,False,<class 'object'>,GS
136,GOLDMAN SACHS GROUP INC 3.272%,3.27,2025-09-29 00:00:00,560000.0,559813.48,544078.81,9-200100-Neuberger Intermediate,Corporate Bonds,GOLDMAN SACHS GROUP  INC,,False,<class 'object'>,GS
137,GOLDMAN SACHS GROUP INC 3.691%,3.69,2028-06-05 00:00:00,460000.0,440712.2,436209.81,9-200100-Neuberger Intermediate,Corporate Bonds,GOLDMAN SACHS GROUP  INC,,False,<class 'object'>,GS
138,HSBC HLDGS PLC 2.013% DUE ,2.01,2028-09-22 00:00:00,390000.0,390000.0,333581.13,9-200100-Neuberger Intermediate,Corporate Bonds,HSBC HLDGS PLC,,False,<class 'object'>,HBC1.HM
139,HSBC HLDGS PLC 2.206% DUE ,2.21,2029-08-17 00:00:00,365000.0,365000.0,306572.03,9-200100-Neuberger Intermediate,Corporate Bonds,HSBC HLDGS PLC,,False,<class 'object'>,HBC1.HM
140,HUMANA INC 1.35% 02-03-2027 ,1.35,2027-02-03 00:00:00,745000.0,744292.25,651379.2,9-200100-Neuberger Intermediate,Corporate Bonds,HUMANA  INC,,False,<class 'object'>,HUM
141,JPMORGAN CHASE & CO 2.956% ,2.96,1931-05-13 00:00:00,390000.0,390000.0,336719.62,9-200100-Neuberger Intermediate,Corporate Bonds,JPMORGAN CHASE &  CO,,False,<class 'object'>,JPM
142,JPMORGAN CHASE & CO 3.22% DUE ,3.22,2025-03-01 00:00:00,790000.0,796521.38,775786.32,9-200100-Neuberger Intermediate,Corporate Bonds,JPMORGAN CHASE &  CO,,False,<class 'object'>,JPM
143,JPMORGAN CHASE & CO 3.782% DUE,3.78,2028-02-01 00:00:00,785000.0,766960.7,753809.14,9-200100-Neuberger Intermediate,Corporate Bonds,JPMORGAN CHASE &  CO,,False,<class 'object'>,JPM
144,KINDER MORGAN ENERGY PARTNERS ,4.15,2024-02-01 00:00:00,450000.0,456715.99,450075.56,9-200100-Neuberger Intermediate,Corporate Bonds,KINDER MORGAN INC,,False,<class 'object'>,KMI
145,KINDER MORGAN INC DEL 4.3% DUE,4.3,2025-06-01 00:00:00,460000.0,465188.8,457632.86,9-200100-Neuberger Intermediate,Corporate Bonds,KINDER MORGAN INC,,False,<class 'object'>,KMI
146,KLA CORP 4.65% 07-15-2032 ,4.65,1932-07-15 00:00:00,355000.0,354790.55,362149.49,9-200100-Neuberger Intermediate,Corporate Bonds,KLA  CO,,False,<class 'object'>,KLAC
147,MARVELL TECHNOLOGY INC 2.45% D,2.45,2028-04-15 00:00:00,470000.0,474829.87,410122.26,9-200100-Neuberger Intermediate,Corporate Bonds,MARVELL TECHNOLOGY  INC,,False,<class 'object'>,MRVL
148,MARVELL TECHNOLOGY INC 2.95% ,2.95,1931-04-15 00:00:00,545000.0,552133.45,457017.35,9-200100-Neuberger Intermediate,Corporate Bonds,MARVELL TECHNOLOGY  INC,,False,<class 'object'>,MRVL
149,MERCK & CO INC/BRISTOL-MYERS S,1.7,2027-06-10 00:00:00,1910000.0,1909197.8,1735044.63,9-200100-Neuberger Intermediate,Corporate Bonds,MERCK &  CO,,False,<class 'object'>,MRK
150,MITSUBISHI UFJ FINL GROUP INC ,2.62,2022-07-18 00:00:00,855000.0,855000.0,855077.39,9-200100-Neuberger Intermediate,Corporate Bonds,MITSUBISHI UFJ FINL GROUP  INC,,False,<class 'object'>,MSBHF
151,MORGAN STANLEY 1.928% DUE 04-2,1.93,1932-04-28 00:00:00,385000.0,385000.0,305292.84,9-200100-Neuberger Intermediate,Corporate Bonds,MORGAN STANLEY,,False,<class 'object'>,MS
152,MORGAN STANLEY 2.484% DUE 09-1,2.48,1936-09-16 00:00:00,575000.0,575000.0,442129.62,9-200100-Neuberger Intermediate,Corporate Bonds,MORGAN STANLEY,,False,<class 'object'>,MS
153,MORGAN STANLEY 3.625% DUE 01-2,3.63,2027-01-20 00:00:00,570000.0,572625.74,552078.5,9-200100-Neuberger Intermediate,Corporate Bonds,MORGAN STANLEY,,False,<class 'object'>,MS
154,MORGAN STANLEY FORMERLY MORGAN,3.77,2029-01-24 00:00:00,595000.0,637875.7,564562.89,9-200100-Neuberger Intermediate,Corporate Bonds,MORGAN STANLEY,,False,<class 'object'>,MS
155,ORACLE CORP 2.5% DUE 04-01-202,2.5,2025-04-01 00:00:00,1265000.0,1264531.95,1201897.9,9-200100-Neuberger Intermediate,Corporate Bonds,ORACLE  CO,,False,<class 'object'>,ORCL
156,ORACLE CORP 2.875% DUE 03-25-2,2.88,1931-03-25 00:00:00,410000.0,409364.5,337804.27,9-200100-Neuberger Intermediate,Corporate Bonds,ORACLE  CO,,False,<class 'object'>,ORCL
157,PACIFIC GAS & ELEC CO 2.5% DUE,2.5,1931-02-01 00:00:00,690000.0,689282.4,527802.98,9-200100-Neuberger Intermediate,Corporate Bonds,PACIFIC GAS & ELEC  CO,,False,<class 'object'>,PCG
158,PVTPL COMMONWEALTH BK AUSTRALI,3.78,1932-03-14 00:00:00,375000.0,375000.0,330352.07,9-200100-Neuberger Intermediate,Corporate Bonds,COMMONWEALTH BK AUSTRALI,,True,<class 'object'>,CBA.AX
159,PVTPL GTP ACQUISITION PARTNERS,3.48,2025-06-16 00:00:00,822000.0,833836.8,809438.61,9-200100-Neuberger Intermediate,Corporate Bonds,GTP ACQUISITION PARTNERS,,True,<class 'object'>,GTPL.NS
160,PVTPL MAGALLANES INC 4.279% 03,4.4,1932-03-15 00:00:00,1685000.0,1684465.12,1505956.06,9-200100-Neuberger Intermediate,Corporate Bonds,MAGALLANES  INC,,True,<class 'object'>,0P0001572Y.F
161,PVTPL NATIONAL AUSTRALIA BANK ,3.35,1937-01-12 00:00:00,345000.0,345000.0,289499.95,9-200100-Neuberger Intermediate,Corporate Bonds,NATIONAL AUSTRALIA BANK,,True,<class 'object'>,NAB.AX
162,PVTPL ROCHE HOLDINGS INC 1.93%,1.93,2028-12-13 00:00:00,1030000.0,1030000.0,910353.02,9-200100-Neuberger Intermediate,Corporate Bonds,ROCHE HOLDINGS INC,,True,<class 'object'>,ROG.SW
163,PVTPL ROGERS COMMUNICATIONS IN,3.8,1932-03-15 00:00:00,1375000.0,1371933.75,1257313.75,9-200100-Neuberger Intermediate,Corporate Bonds,ROGERS  CO,,True,<class 'object'>,RCI-B.TO
164,PVTPL SOCIETE GENERALE 3.337% ,3.34,1933-01-21 00:00:00,515000.0,515000.0,421351.96,9-200100-Neuberger Intermediate,Corporate Bonds,SOCIETE GENERALE,,True,<class 'object'>,GLE.PA
165,PVTPL VOLKSWAGEN GROUP AMER FI,3.13,2023-05-12 00:00:00,920000.0,919558.4,913412.23,9-200100-Neuberger Intermediate,Corporate Bonds,VOLKSWAGEN GROUP,,True,<class 'object'>,VOW3.DE
166,T-MOBILE USA INC 3.875% 04-15-,3.88,1930-04-15 00:00:00,675000.0,724194.0,629947.85,9-200100-Neuberger Intermediate,Corporate Bonds,T-MOBILE USA  INC,,False,<class 'object'>,TMUS
167,T-MOBILE USA INC FIXED 3.75% D,3.75,2027-04-15 00:00:00,1395000.0,1534215.42,1343272.8,9-200100-Neuberger Intermediate,Corporate Bonds,T-MOBILE USA  INC,,False,<class 'object'>,TMUS
168,T-MOBILE USA INC SR SECD NT 14,0,1932-03-15 00:00:00,205000.0,173826.5,173826.5,9-200100-Neuberger Intermediate,Corporate Bonds,T-MOBILE USA  INC,,False,<class 'object'>,TMUS
169,VERIZON COMMUNICATIONS 2.1% DU,2.1,2028-03-22 00:00:00,765000.0,764655.75,679489.52,9-200100-Neuberger Intermediate,Corporate Bonds,VERIZON  CO,,False,<class 'object'>,VZ
170,VERIZON COMMUNICATIONS 2.55% D,2.55,1931-03-21 00:00:00,390000.0,388397.1,333452.94,9-200100-Neuberger Intermediate,Corporate Bonds,VERIZON  CO,,False,<class 'object'>,VZ
171,VERIZON COMMUNICATIONS INC 1.7,1.75,1931-01-20 00:00:00,290000.0,286360.5,232934.64,9-200100-Neuberger Intermediate,Corporate Bonds,VERIZON  CO,,False,<class 'object'>,VZ
172,"VERIZON COMMUNICATIONS, INC 2.",2.36,1932-03-15 00:00:00,410000.0,339004.37,339946.86,9-200100-Neuberger Intermediate,Corporate Bonds,VERIZON  CO,,False,<class 'object'>,VZ
173,VMWARE INC SR NT 1.8% 08-15-20,1.8,2028-08-15 00:00:00,745000.0,741133.45,618692.19,9-200100-Neuberger Intermediate,Corporate Bonds,VMWARE  INC,,False,<class 'object'>,VMW
174,VOLKSWAGEN GROUP AMER FIN LLC ,4.25,2023-11-13 00:00:00,435000.0,443642.96,434951.45,9-200100-Neuberger Intermediate,Corporate Bonds,VOLKSWAGEN GROUP,,False,<class 'object'>,VOW3.DE
175,WELLS FARGO & CO MEDIUM TERM S,2.19,2026-04-30 00:00:00,1285000.0,1285000.0,1202184.65,9-200100-Neuberger Intermediate,Corporate Bonds,WELLS FARGO &  CO,,False,<class 'object'>,WFC
176,STARBUCKS CORP 3% 2-14-2032,3,1932-02-14 00:00:00,295000.0,294442.45,256426.48,9-200100-Neuberger Intermediate,Corporate Bonds,STARBUCKS  CO,,False,<class 'object'>,SBUX
674,Corporate Bonds,,,,,,9-200100-Income Research Intermediate,Corporate Bonds,Corporate Bonds,,False,<class 'object'>,
675,ADVENTIST HEALTH SYS/WEST 2.43,2.43,2024-09-01 00:00:00,784000.0,784000.0,759536.73,9-200100-Income Research Intermediate,Corporate Bonds,ADVENTIST HEALTH SYS/WEST 2.43,,False,<class 'object'>,NO_TICKER_FOUND
676,AMAZON.COM INC 3.45% 04-13-202,3.45,2029-04-13 00:00:00,1343000.0,1340099.12,1305507.12,9-200100-Income Research Intermediate,Corporate Bonds,AMAZON.COM  INC,,False,<class 'object'>,AMZN
677,AMER AIRLINES 3.15% 08-15-2033,3.15,1933-08-15 00:00:00,610727.32,610727.32,539836.96,9-200100-Income Research Intermediate,Corporate Bonds,AMER AIRLINES,,False,<class 'object'>,AAL
678,ANHEUSER-BUSCH COS LLC CORP 3.,3.65,2026-02-01 00:00:00,1275000.0,1286670.08,1254268.69,9-200100-Income Research Intermediate,Corporate Bonds,ANHEUSER-BUSCH CO,,False,<class 'object'>,BUD
679,ANHEUSER-BUSCH INBEV WORLDWIDE,4.75,2029-01-23 00:00:00,163000.0,198529.11,165830.27,9-200100-Income Research Intermediate,Corporate Bonds,ANHEUSER-BUSCH CO,,False,<class 'object'>,BUD
680,APTIV PLC 3.25% 03-01-2032 ,3.25,1932-03-01 00:00:00,803000.0,801324.65,682221.03,9-200100-Income Research Intermediate,Corporate Bonds,APTIV CO,,False,<class 'object'>,APTV
681,AQUARION CO 4.0% DUE ,4,2024-08-15 00:00:00,1380000.0,1515488.4,1367172.06,9-200100-Income Research Intermediate,Corporate Bonds,AQUARION  CO,,False,<class 'object'>,NO_TICKER_FOUND
682,ASCENSION 2.532% DUE ,2.53,2029-11-15 00:00:00,1759000.0,1822170.45,1589469.69,9-200100-Income Research Intermediate,Corporate Bonds,ASCENSION,,False,<class 'object'>,NO_TICKER_FOUND
683,AT&T INC 1.38088% DUE 06-12-20,2.9,2024-06-12 00:00:00,833000.0,815448.69,835572.1,9-200100-Income Research Intermediate,Corporate Bonds,AT&T  INC,,False,<class 'object'>,T
684,AT&T INC SR NT 144A ZERO CPN C,0,2022-11-27 00:00:00,3000000.0,2544890.0,2956590.99,9-200100-Income Research Intermediate,Corporate Bonds,AT&T  INC,,False,<class 'object'>,T
685,BAE SYS PLC 3.4% DUE ,3.4,1930-04-15 00:00:00,744000.0,792709.68,679161.83,9-200100-Income Research Intermediate,Corporate Bonds,BAE SYS PLC,,False,<class 'object'>,BAESY
686,BANK AMER CORP 3.419% 12-20-20,3.42,2028-12-20 00:00:00,596000.0,669238.68,555029.82,9-200100-Income Research Intermediate,Corporate Bonds,BANK OF AMERICA CO,,False,<class 'object'>,BAC
687,BANK AMER CORP 3.5% DUE ,3.5,2026-04-19 00:00:00,503000.0,518933.44,490046.0,9-200100-Income Research Intermediate,Corporate Bonds,BANK OF AMERICA CO,,False,<class 'object'>,BAC
688,BANK AMER CORP 3.559% DUE ,3.56,2027-04-23 00:00:00,320000.0,351820.8,306323.73,9-200100-Income Research Intermediate,Corporate Bonds,BANK OF AMERICA CO,,False,<class 'object'>,BAC
689,BANK OF AMERICA CORP 1.734% 07,1.73,2027-07-22 00:00:00,1030000.0,1030000.0,915562.9,9-200100-Income Research Intermediate,Corporate Bonds,BANK OF AMERICA  CO,,False,<class 'object'>,BAC
690,BERKSHIRE HATHAWAY ENERGY CO 3,3.5,2025-02-01 00:00:00,1400000.0,1454558.0,1400630.22,9-200100-Income Research Intermediate,Corporate Bonds,BERKSHIRE HATHAWAY ENERGY  CO,,False,<class 'object'>,BRK-B
691,BMW US CAP LLC GTD NT 144A 3.4,3.45,2027-04-01 00:00:00,779000.0,778182.05,759374.15,9-200100-Income Research Intermediate,Corporate Bonds,BMW,,False,<class 'object'>,BMW.DE
692,BOEING CO FIXED 5.15% DUE 05-0,5.15,1930-05-01 00:00:00,1019000.0,1026778.6,978115.73,9-200100-Income Research Intermediate,Corporate Bonds,BOEING  CO,,False,<class 'object'>,BA
693,BROADCOM INC 4.11% DUE 09-15-2,4.11,2028-09-15 00:00:00,936000.0,1066019.05,888112.49,9-200100-Income Research Intermediate,Corporate Bonds,BROADCOM  INC,,False,<class 'object'>,AVGO
694,BROOKFIELD FIN INC 3.9% DUE ,3.9,2028-01-25 00:00:00,992000.0,1062769.28,947857.23,9-200100-Income Research Intermediate,Corporate Bonds,BROOKFIELD FIN  INC,,False,<class 'object'>,BNH
695,CHARTER COMMUNICATIONS OPER LL,4.91,2025-07-23 00:00:00,1879000.0,1981827.28,1883359.28,9-200100-Income Research Intermediate,Corporate Bonds,CHARTER  CO,,False,<class 'object'>,CHTR
696,CIGNA CORP NEW 3.0% ,3,2023-07-15 00:00:00,900000.0,954912.08,893245.44,9-200100-Income Research Intermediate,Corporate Bonds,CIGNA  CO,,False,<class 'object'>,CGN.MU
697,CIGNA CORP NEW CORP 4.125% 11-,4.13,2025-11-15 00:00:00,838000.0,908231.04,838918.68,9-200100-Income Research Intermediate,Corporate Bonds,CIGNA  CO,,False,<class 'object'>,CGN.MU
698,CITIGROUP INC 3.2% DUE ,3.2,2026-10-21 00:00:00,544000.0,557268.16,517640.16,9-200100-Income Research Intermediate,Corporate Bonds,CITIGROUP  INC,,False,<class 'object'>,C
699,COMCAST CORP NEW 3.95% ,3.95,2025-10-15 00:00:00,613000.0,683795.37,615418.46,9-200100-Income Research Intermediate,Corporate Bonds,COMCAST  CO,,False,<class 'object'>,CMCSA
700,COMMONSPIRIT HEALTH 1.547% DUE,1.55,2025-10-01 00:00:00,1045000.0,1045000.0,963931.36,9-200100-Income Research Intermediate,Corporate Bonds,COMMONSPIRIT HEALTH,,False,<class 'object'>,NO_TICKER_FOUND
701,DELTA AIR LINES INC DEL 2.0% 1,2,2029-12-10 00:00:00,1369040.88,1369040.88,1194311.41,9-200100-Income Research Intermediate,Corporate Bonds,DELTA AIR LINES,,False,<class 'object'>,DAL
702,DELTA AIR LINES PASS THRU TR 2,3.63,2027-07-30 00:00:00,469053.08,476675.18,443770.7,9-200100-Income Research Intermediate,Corporate Bonds,DELTA AIR LINES,,False,<class 'object'>,DAL
703,DIGITAL RLTY TR LP 3.6% DUE ,3.6,2029-07-01 00:00:00,245000.0,272266.05,221419.0,9-200100-Income Research Intermediate,Corporate Bonds,DIGITAL RLTY TR  LP,,False,<class 'object'>,APLD
704,DIGITAL RLTY TR LP FIXED 3.7% ,3.7,2027-08-15 00:00:00,736000.0,745597.44,701089.11,9-200100-Income Research Intermediate,Corporate Bonds,DIGITAL RLTY TR  LP,,False,<class 'object'>,APLD
705,DISNEY WALT CO 3.35% DUE 03-24,3.35,2025-03-24 00:00:00,576000.0,628778.88,570916.43,9-200100-Income Research Intermediate,Corporate Bonds,DISNEY WALT  CO,,False,<class 'object'>,DIS
706,DTE ENERGY CO FIXED 1.05% DUE ,1.05,2025-06-01 00:00:00,959000.0,961742.74,882059.94,9-200100-Income Research Intermediate,Corporate Bonds,DTE ELEC,,False,<class 'object'>,DTE
707,EXELON CORP 3.35% 03-15-2032 ,3.35,1932-03-15 00:00:00,458000.0,457688.56,410489.8,9-200100-Income Research Intermediate,Corporate Bonds,EXELON  CO,,False,<class 'object'>,EXC
708,EXELON CORP 3.95% DUE ,3.95,2025-06-15 00:00:00,1335000.0,1447242.75,1330403.82,9-200100-Income Research Intermediate,Corporate Bonds,EXELON  CO,,False,<class 'object'>,EXC
709,FEDERAL RLTY INVT TR 1.25% DUE,1.25,2026-02-15 00:00:00,727000.0,722194.53,650417.94,9-200100-Income Research Intermediate,Corporate Bonds,FEDERAL RLTY INVT TR,,False,<class 'object'>,FNMA
710,FLORIDA PWR & LT CO 1ST MTG BD,2.45,1932-02-03 00:00:00,673000.0,671923.2,586415.28,9-200100-Income Research Intermediate,Corporate Bonds,FLORIDA POWER & LIGHT CO,,False,<class 'object'>,SBCF
711,GOLDMAN SACHS GROUP INC 3.8% D,3.8,1930-03-15 00:00:00,1000000.0,992040.0,927269.84,9-200100-Income Research Intermediate,Corporate Bonds,GOLDMAN SACHS GROUP  INC,,False,<class 'object'>,GS
712,HEALTHCARE TR AMER HLDGS LP 3.,3.1,1930-02-15 00:00:00,1090000.0,1177134.6,939150.94,9-200100-Income Research Intermediate,Corporate Bonds,HEALTHCARE TR AMER HLDGS  LP,,False,<class 'object'>,GEHC
713,HEALTHPEAK PPTYS INC SR NT 2.1,2.13,2028-12-01 00:00:00,1353000.0,1344854.94,1168476.34,9-200100-Income Research Intermediate,Corporate Bonds,HEALTHPEAK PPTYS  INC,,False,<class 'object'>,PEAK
714,HEWLETT PACKARD 4.9% DUE 10-15,4.9,2025-10-15 00:00:00,1350000.0,1469286.0,1370371.15,9-200100-Income Research Intermediate,Corporate Bonds,HEWLETT PACKARD ENTERPRISE CO,,False,<class 'object'>,HPE
715,HP INC 4.75% DUE 01-15-2028/06,4.75,2028-01-15 00:00:00,515000.0,514181.15,508887.67,9-200100-Income Research Intermediate,Corporate Bonds,HEWLETT PACKARD ENTERPRISE CO,,False,<class 'object'>,HPE
716,INFOR INC 1.45% DUE ,1.45,2023-07-15 00:00:00,1037000.0,1036678.53,1008867.57,9-200100-Income Research Intermediate,Corporate Bonds,INFOR  INC,,False,<class 'object'>,INFA
717,INTERSTATE PWR & LT CO 2.3% DU,2.3,1930-06-01 00:00:00,1117000.0,1116693.23,950462.65,9-200100-Income Research Intermediate,Corporate Bonds,INTERSTATE PWR & LT  CO,,False,<class 'object'>,FIBK
718,JERSEY CENT PWR & LT CO 4.3% D,4.3,2026-01-15 00:00:00,1119000.0,1135460.49,1105216.08,9-200100-Income Research Intermediate,Corporate Bonds,JERSEY CENT PWR & LT  CO,,False,<class 'object'>,NJR
719,JPM CHASE 2.963% 01-25-2033 ,2.96,1933-01-25 00:00:00,767000.0,767000.0,658362.76,9-200100-Income Research Intermediate,Corporate Bonds,JPMORGAN CHASE &  CO,,False,<class 'object'>,JPM
720,JPMORGAN CHASE & CO 4.203% DUE,4.2,2029-07-23 00:00:00,955000.0,955000.0,921082.92,9-200100-Income Research Intermediate,Corporate Bonds,JPMORGAN CHASE &  CO,,False,<class 'object'>,JPM
721,JPMORGAN CHASE & CO 4.565% ,4.57,1930-06-14 00:00:00,759000.0,759000.0,745150.57,9-200100-Income Research Intermediate,Corporate Bonds,JPMORGAN CHASE &  CO,,False,<class 'object'>,JPM
722,KKR GROUP FIN CO XII LLC SR NT,4.85,1932-05-17 00:00:00,693000.0,691334.01,684178.55,9-200100-Income Research Intermediate,Corporate Bonds,KKR GROUP FIN  CO,,False,<class 'object'>,KKRS
723,LINCOLN NATL CORP IND 3.4% DUE,3.4,1931-01-15 00:00:00,630000.0,628620.3,563126.75,9-200100-Income Research Intermediate,Corporate Bonds,LINCOLN NATL  CO,,False,<class 'object'>,LNC
724,LINCOLN NATL CORP IND 3.625% D,3.63,2026-12-12 00:00:00,866000.0,952894.44,838602.38,9-200100-Income Research Intermediate,Corporate Bonds,LINCOLN NATL  CO,,False,<class 'object'>,LNC
725,LOWES COS INC 4.5% DUE ,4.5,1930-04-15 00:00:00,1300000.0,1538745.0,1284403.61,9-200100-Income Research Intermediate,Corporate Bonds,LOWES  CO,,False,<class 'object'>,LOW
726,MANULIFE FINL CORP SR NT 3.703,3.7,1932-03-16 00:00:00,787000.0,787000.0,723215.79,9-200100-Income Research Intermediate,Corporate Bonds,MANULIFE FINL  CO,,False,<class 'object'>,MFC
