University of Illinois System - Investment Office,,,,,
Security Inventory,,,,,
By Fund Group,,,,,
"June 30, 2022",,,,,
,,,,,
,,Maturity,,,
PVTPL CMO VERUS SECURITIZATION,1.05,06/25/66,"460,957.27","460,953.77","407,403.25"
PVTPL CMO VERUS SECURITIZATION,1.63,10/25/66,"639,131.92","639,120.03","566,217.64"
PVTPL CMO VERUS SECURITIZATION,2.64,11/25/59,"66,220.93","66,220.90","65,855.76"
STARWOOD MTG RESIDENTIAL TR 20,1.13,06/25/56,"360,842.77","360,836.92","323,029.62"
UBS COML MTG TR 2017-C2 COML M,3.49,08/15/50,"405,000.00","402,800.98","388,648.85"
WELLS FARGO COML MTG TR 2019-C,3.04,10/15/52,"228,000.00","211,728.28","208,708.21"
WFRBS COML MTG TR 2014-C22 MTG,4.07,09/15/57,"390,000.00","415,883.20","383,333.18"
,,,,,
Corporate Bonds,,,,,
ABBVIE INC 2.6% DUE 11-21-2024,2.60,11/21/24,"1,065,000.00","1,135,158.13","1,030,877.86"
ABBVIE INC 2.95% DUE,2.95,11/21/26,"495,000.00","545,836.80","469,035.55"
AERCAP IRELAND CAP / GLOBA 3.0,3.00,10/29/28,"440,000.00","439,199.20","370,620.29"
AERCAP IRELAND CAP / GLOBA ,3.56,01/30/32,"430,000.00","428,383.20","344,211.28"
ANALOG DEVICES INC 2.1% 10-01-,2.10,10/01/31,"1,030,000.00","1,024,108.40","879,448.12"
ANHEUSER-BUSCH INBEV WORLDWIDE,4.75,01/23/29,"505,000.00","503,409.25","513,768.63"
APPLE INC 1.65% DUE,1.65,02/08/31,"770,000.00","769,784.40","647,288.13"
APPLE INC 3.2% DUE 05-11-2027/,3.20,05/11/27,"345,000.00","345,000.00","340,147.68"
AT&T INC 2.3% DUE 06-01-2027,2.30,06/01/27,"455,000.00","454,326.60","415,344.07"
AT&T INC 2.55% DUE 12-01-2033,2.55,12/01/33,"610,000.00","612,845.31","494,852.53"
AT&T INC 4.35% DUE 03-01-2029/,4.35,03/01/29,"745,000.00","741,334.60","733,555.02"
B A T CAP CORP 2.259% DUE,2.26,03/25/28,"525,000.00","525,000.00","439,811.57"
BANK AMER CORP 3.366% DUE 01-2,3.37,01/23/26,"810,000.00","781,836.30","784,478.24"
BANK OF AMERICA CORP 2.299% 07,2.30,07/21/32,"1,115,000.00","1,115,000.00","901,027.46"
BANK OF AMERICA CORP 4.571%,4.57,04/27/33,"300,000.00","300,000.00","291,963.31"
BOEING CO 1.433% 02-04-2024,1.43,02/04/24,"1,735,000.00","1,735,000.00","1,657,322.80"
BOEING CO 5.04% DUE,5.04,05/01/27,"480,000.00","543,984.00","474,128.80"
BOEING CO FIXED 5.15% DUE 05-0,5.15,05/01/30,"1,890,000.00","1,955,210.55","1,814,169.51"
BRISTOL-MYERS SQUIBB CO 2.95%,2.95,03/15/32,"480,000.00","478,257.60","439,694.91"
BROADCOM INC 3.15% DUE,3.15,11/15/25,"215,000.00","232,026.12","207,051.20"
CARRIER GLOBAL CORP 2.493%,2.49,02/15/27,"100,000.00","106,425.63","90,974.90"
CDW LLC/CDW FIN CORP 3.276% 12,3.28,12/01/28,"435,000.00","435,000.00","375,233.18"
CDW LLC/CDW FINANCE CORP 3.569,3.57,12/01/31,"890,000.00","885,997.10","735,286.85"
CHARTER COMMUNICATIONS OPER LL,2.80,04/01/31,"775,000.00","771,597.75","620,664.80"
CITIGROUP INC 2.876% DUE,2.88,07/24/23,"530,000.00","530,000.00","529,767.84"
COMCAST CORP NEW 1.5% DUE,1.50,02/15/31,"1,130,000.00","1,126,191.90","908,170.32"
CSL FINANCE PLC CSLAU 4 1/4 04,4.25,04/27/32,"690,000.00","687,550.50","674,624.96"
CVS HEALTH CORP 1.3% DUE 08-21,1.30,08/21/27,"575,000.00","573,390.00","495,451.77"
ENTERGY TEX INC 1.75% DUE,1.75,03/15/31,"375,000.00","373,612.50","303,254.37"
EVERGY INC 2.45% DUE,2.45,09/15/24,"545,000.00","544,051.70","524,026.46"
GENERAL MTRS CO 6.8% DUE 10-01,6.80,10/01/27,"495,000.00","493,886.25","521,167.09"
GOLDMAN SACHS GROUP INC 1.992%,1.99,01/27/32,"385,000.00","385,000.00","304,126.88"
GOLDMAN SACHS GROUP INC 3.272%,3.27,09/29/25,"560,000.00","559,813.48","544,078.81"
GOLDMAN SACHS GROUP INC 3.691%,3.69,06/05/28,"460,000.00","440,712.20","436,209.81"
HSBC HLDGS PLC 2.013% DUE,2.01,09/22/28,"390,000.00","390,000.00","333,581.13"
HSBC HLDGS PLC 2.206% DUE,2.21,08/17/29,"365,000.00","365,000.00","306,572.03"
HUMANA INC 1.35% 02-03-2027,1.35,02/03/27,"745,000.00","744,292.25","651,379.20"
JPMORGAN CHASE & CO 2.956%,2.96,05/13/31,"390,000.00","390,000.00","336,719.62"
JPMORGAN CHASE & CO 3.22% DUE,3.22,03/01/25,"790,000.00","796,521.38","775,786.32"
JPMORGAN CHASE & CO 3.782% DUE,3.78,02/01/28,"785,000.00","766,960.70","753,809.14"
KINDER MORGAN ENERGY PARTNERS ,4.15,02/01/24,"450,000.00","456,715.99","450,075.56"
KINDER MORGAN INC DEL 4.3% DUE,4.30,06/01/25,"460,000.00","465,188.80","457,632.86"
KLA CORP 4.65% 07-15-2032,4.65,07/15/32,"355,000.00","354,790.55","362,149.49"
MARVELL TECHNOLOGY INC 2.45% D,2.45,04/15/28,"470,000.00","474,829.87","410,122.26"
MARVELL TECHNOLOGY INC 2.95%,2.95,04/15/31,"545,000.00","552,133.45","457,017.35"
MERCK & CO INC/BRISTOL-MYERS S,1.70,06/10/27,"1,910,000.00","1,909,197.80","1,735,044.63"
MITSUBISHI UFJ FINL GROUP INC ,2.62,07/18/22,"855,000.00","855,000.00","855,077.39"
MORGAN STANLEY 1.928% DUE 04-2,1.93,04/28/32,"385,000.00","385,000.00","305,292.84"
MORGAN STANLEY 2.484% DUE 09-1,2.48,09/16/36,"575,000.00","575,000.00","442,129.62"
MORGAN STANLEY 3.625% DUE 01-2,3.63,01/20/27,"570,000.00","572,625.74","552,078.50"
MORGAN STANLEY FORMERLY MORGAN,3.77,01/24/29,"595,000.00","637,875.70","564,562.89"
ORACLE CORP 2.5% DUE 04-01-202,2.50,04/01/25,"1,265,000.00","1,264,531.95","1,201,897.90"
ORACLE CORP 2.875% DUE 03-25-2,2.88,03/25/31,"410,000.00","409,364.50","337,804.27"
PACIFIC GAS & ELEC CO 2.5% DUE,2.50,02/01/31,"690,000.00","689,282.40","527,802.98"
PVTPL COMMONWEALTH BK AUSTRALI,3.78,03/14/32,"375,000.00","375,000.00","330,352.07"
PVTPL GTP ACQUISITION PARTNERS,3.48,06/16/25,"822,000.00","833,836.80","809,438.61"
PVTPL MAGALLANES INC 4.279% 03,4.40,03/15/32,"1,685,000.00","1,684,465.12","1,505,956.06"
PVTPL NATIONAL AUSTRALIA BANK ,3.35,01/12/37,"345,000.00","345,000.00","289,499.95"
PVTPL ROCHE HOLDINGS INC 1.93%,1.93,12/13/28,"1,030,000.00","1,030,000.00","910,353.02"
PVTPL ROGERS COMMUNICATIONS IN,3.80,03/15/32,"1,375,000.00","1,371,933.75","1,257,313.75"
PVTPL SOCIETE GENERALE 3.337%,3.34,01/21/33,"515,000.00","515,000.00","421,351.96"
PVTPL VOLKSWAGEN GROUP AMER FI,3.13,05/12/23,"920,000.00","919,558.40","913,412.23"
T-MOBILE USA INC 3.875% 04-15-,3.88,04/15/30,"675,000.00","724,194.00","629,947.85"
T-MOBILE USA INC FIXED 3.75% D,3.75,04/15/27,"1,395,000.00","1,534,215.42","1,343,272.80"
T-MOBILE USA INC SR SECD NT 14,0.00,03/15/32,"205,000.00","173,826.50","173,826.50"
VERIZON COMMUNICATIONS 2.1% DU,2.10,03/22/28,"765,000.00","764,655.75","679,489.52"
VERIZON COMMUNICATIONS 2.55% D,2.55,03/21/31,"390,000.00","388,397.10","333,452.94"
VERIZON COMMUNICATIONS INC 1.7,1.75,01/20/31,"290,000.00","286,360.50","232,934.64"
"VERIZON COMMUNICATIONS, INC 2.",2.36,03/15/32,"410,000.00","339,004.37","339,946.86"
VMWARE INC SR NT 1.8% 08-15-20,1.80,08/15/28,"745,000.00","741,133.45","618,692.19"
VOLKSWAGEN GROUP AMER FIN LLC ,4.25,11/13/23,"435,000.00","443,642.96","434,951.45"
WELLS FARGO & CO MEDIUM TERM S,2.19,04/30/26,"1,285,000.00","1,285,000.00","1,202,184.65"
STARBUCKS CORP 3% 2-14-2032,3.00,02/14/32,"295,000.00","294,442.45","256,426.48"
,,,,,
Municipal Bonds,,,,,
ONTARIO PROV CDA 2.125% 01-21-,01/02/00,"11,709.00","435,000.00","434,377.95",383583.71
,,,,,
U.S. Agency Bonds,,,,,
ASIAN DEV BK 3.125% 04-27-2032,3.13,04/27/32,"490,000.00","489,833.40","486,131.86"
FANNIE MAE 01/03/2052 2.5% 03-,2.50,03/01/52,"372,247.13","370,095.08","335,863.29"
FANNIE MAE 2.0% 02-01-2051,2.00,02/01/51,"221,986.73","229,340.06","193,729.80"
FANNIE MAE 2.0% 02-01-2051,2.00,02/01/51,"230,095.00","238,184.27","200,704.25"
FANNIE MAE BV2859 3.0% 03-01-2,3.00,03/01/52,"419,525.20","409,823.69","391,580.70"
FANNIE MAE FN BT1339 2.5% 07-0,2.50,07/01/51,"321,493.47","333,097.37","289,906.72"
FANNIE MAE FN BT1825 2.0% 06-0,2.00,06/01/36,"220,365.64","227,630.83","205,922.21"
FANNIE MAE FN BT7263 2.5% 09-0,2.50,09/01/51,"430,299.39","392,715.44","387,983.77"
FANNIE MAE FN BU7103 2.0% 12-0,2.00,12/01/51,"534,183.78","494,036.53","464,511.78"
FANNIE MAE FN BW0741 4.5% 05-0,4.50,05/01/52,"239,730.36","245,086.84","242,212.42"
FANNIE MAE FN CB1038 2.5% 07-0,2.50,07/01/51,"315,306.40","328,140.35","284,136.62"
FANNIE MAE FN CB2852 2.0% 11-0,2.00,11/01/51,"311,996.45","286,354.24","271,800.32"
FED HOME LN MTG CORP DUE Q1689,3.50,04/01/43,"203,295.13","203,168.06","199,964.90"
FEDERAL FARM CREDIT 3.0% 11-01,3.00,11/01/48,"364,694.00","384,011.39","345,679.25"
FEDERAL HOME LN BKS CONS 0.9%,0.90,02/26/27,"3,250,000.00","3,250,000.00","2,916,297.15"
FEDERAL HOME LN MTG CORP 2.5%,2.50,02/01/51,"260,378.13","267,579.20","234,599.01"
FEDERAL HOME LN MTG CORP GOLD ,4.00,11/01/41,"10,313.27","11,122.21","10,440.50"
FEDERAL HOME LN MTG CORP POOL ,4.50,06/01/34,810.93,774.69,820.03
FEDERAL HOME LN MTG CORP POOL ,5.00,11/01/35,"2,343.25","2,278.08","2,398.35"
FEDERAL HOME LN MTG CORP POOL ,5.00,08/01/35,"2,298.33","2,482.91","2,420.61"
FEDERAL HOME LN MTG CORP POOL ,5.00,01/01/38,"11,166.04","11,990.39","11,765.59"
FEDERAL HOME LN MTG CORP POOL ,5.00,06/01/39,"4,576.11","5,052.31","4,720.71"
FEDERAL HOME LN MTG CORP POOL ,4.50,10/01/39,"7,497.59","7,591.31","7,746.40"
FEDERAL HOME LN MTG CORP POOL ,4.50,03/01/40,"5,661.90","5,615.90","5,834.49"
FEDERAL HOME LN MTG CORP POOL ,4.50,12/01/39,"3,935.33","4,264.15","4,033.60"
FEDERAL HOME LN MTG CORP POOL ,4.50,04/01/40,"3,377.55","3,410.81","3,489.37"
FEDERAL HOME LN MTG CORP POOL ,4.50,08/01/40,"1,775.14","1,887.74","1,833.91"
FEDERAL HOME LN MTG CORP POOL ,4.00,01/01/41,"216,813.68","228,433.54","219,489.72"
FEDERAL HOME LN MTG CORP POOL ,4.00,01/01/41,"25,898.79","27,594.35","26,156.11"
FEDERAL HOME LN MTG CORP POOL ,4.50,03/01/41,"15,704.39","16,609.84","16,224.86"
FEDERAL HOME LN MTG CORP POOL ,4.50,06/01/40,"6,038.36","6,366.70","6,238.32"
FEDERAL HOME LN MTG CORP POOL ,3.50,04/01/42,"311,167.51","310,875.78","306,071.61"
FEDERAL HOME LN MTG CORP POOL ,3.50,10/01/42,"139,090.37","143,676.01","136,812.03"
FEDERAL HOME LN MTG CORP POOL ,4.50,08/01/35,"2,586.12","2,773.62","2,662.60"
FEDERAL HOME LN MTG CORP POOL ,5.00,06/01/36,"7,599.89","7,213.35","8,006.05"
FEDERAL HOME LN MTG CORP POOL ,5.00,05/01/37,"4,773.63","5,138.37","5,034.66"
FEDERAL HOME LN MTG CORP POOL ,5.00,07/01/37,"6,194.10","5,804.07","6,531.48"
FEDERAL HOME LN MTG CORP POOL ,5.00,03/01/38,"7,004.27","7,530.68","7,313.06"
FEDERAL HOME LN MTG CORP POOL ,5.00,03/01/38,"11,304.27","12,155.61","11,918.75"
FEDERAL HOME LN MTG CORP POOL ,5.00,03/01/38,"7,664.85","8,254.10","8,084.53"
FEDERAL HOME LN MTG CORP POOL ,5.00,03/01/38,"4,461.29","4,670.74","4,698.21"
FEDERAL HOME LN MTG CORP POOL ,5.00,12/01/38,"6,209.90","6,676.63","6,544.45"
FEDERAL HOME LN MTG CORP POOL ,4.50,06/01/38,"18,444.82","19,563.03","18,985.83"
FEDERAL HOME LN MTG CORP POOL ,4.50,08/01/41,"60,124.79","65,179.01","62,113.59"
FEDERAL HOME LN MTG CORP POOL ,4.00,06/01/41,"4,890.62","5,084.72","4,950.96"
FEDERAL HOME LN MTG CORP POOL ,4.00,07/01/42,"40,116.08","41,206.75","40,610.52"
FEDERAL HOME LN MTG CORP POOL ,3.50,03/01/45,"72,838.45","75,319.51","71,614.89"
FEDERAL HOME LN MTG CORP POOL ,3.00,07/01/43,"45,197.28","43,509.46","43,208.24"
FEDERAL HOME LN MTG CORP POOL ,3.00,08/01/43,"123,961.35","120,058.91","118,493.19"
FEDERAL HOME LN MTG CORP POOL ,3.00,09/01/43,"137,749.33","132,548.25","131,658.59"
FEDERAL HOME LN MTG CORP POOL ,4.00,11/01/43,"13,100.93","13,633.17","13,206.24"
FEDERAL HOME LN MTG CORP POOL ,3.00,01/01/45,"95,270.78","95,248.46","90,734.97"
FEDERAL HOME LN MTG CORP POOL ,4.00,07/01/45,"20,635.78","22,006.13","20,798.60"
FEDERAL HOME LN MTG CORP POOL ,3.50,03/01/46,"44,894.31","44,333.15","43,937.29"
FEDERAL HOME LN MTG CORP POOL ,4.00,03/01/46,"20,179.75","21,604.70","20,341.51"
FEDERAL HOME LN MTG CORP POOL ,3.50,04/01/46,"71,037.38","69,350.24","69,523.13"
FEDERAL HOME LN MTG CORP POOL ,4.50,05/01/46,"8,283.63","8,939.83","8,510.08"
FEDERAL HOME LN MTG CORP POOL ,4.50,09/01/46,"23,351.45","24,949.56","23,892.73"
FEDERAL HOME LN MTG CORP POOL ,3.50,04/01/47,"38,354.11","38,485.93","37,536.48"
FEDERAL HOME LN MTG CORP POOL ,4.00,05/01/47,"45,800.70","48,298.27","46,009.82"
FEDERAL HOME LN MTG CORP POOL ,4.00,06/01/47,"58,962.45","62,198.47","59,271.30"
FEDERAL HOME LN MTG CORP POOL ,3.50,08/01/47,"41,156.34","42,243.13","40,278.97"
FEDERAL HOME LN MTG CORP POOL ,4.00,10/01/47,"175,734.82","181,616.59","175,746.68"
FEDERAL HOME LN MTG CORP POOL ,4.00,11/01/47,"148,700.17","153,161.18","149,594.78"
FEDERAL HOME LN MTG CORP POOL ,4.50,06/01/48,"32,278.75","33,509.37","32,717.82"
FEDERAL HOME LN MTG CORP POOL ,3.00,10/01/46,"134,758.97","135,453.82","127,671.47"
FEDERAL HOME LN MTG CORP POOL ,3.50,08/01/44,"174,960.30","180,619.20","172,096.48"
FEDERAL HOME LN MTG CORP POOL ,4.00,08/01/47,"91,664.30","93,340.03","92,116.57"
FEDERAL HOME LN MTG CORP POOL ,3.50,11/01/46,"132,711.17","129,559.30","129,899.72"
FEDERAL HOME LN MTG CORP POOL ,4.00,11/01/47,"127,387.88","129,189.52","127,739.60"
FEDERAL HOME LN MTG CORP POOL ,3.50,11/01/47,"180,254.29","175,874.67","176,438.37"
FEDERAL HOME LN MTG CORP POOL ,4.50,07/01/41,"4,224.58","4,479.36","4,364.91"
FEDERAL HOME LN MTG CORP POOL ,4.00,02/01/42,"32,448.36","34,060.65","32,770.82"
FEDERAL HOME LN MTG CORP POOL ,3.50,08/01/43,"77,389.54","76,071.49","76,121.22"
FEDERAL HOME LN MTG CORP POOL ,4.00,09/01/43,"25,242.44","26,114.08","25,472.12"
FEDERAL HOME LN MTG CORP POOL ,4.00,09/01/43,"29,973.18","31,467.15","30,245.51"
FEDERAL HOME LN MTG CORP POOL ,3.50,08/01/47,"79,231.91","78,724.33","77,542.31"
FEDERAL HOME LN MTG CORP POOL ,3.50,08/01/47,"32,521.23","33,918.62","31,781.12"
FEDERAL HOME LN MTG CORP POOL ,4.00,02/01/48,"75,734.29","77,781.49","75,897.08"
FEDERAL HOME LN MTG CORP POOL ,3.00,03/01/50,"262,873.41","277,306.28","247,886.75"
FEDERAL HOME LN MTG CORP POOL ,2.50,07/01/51,"186,147.86","194,466.34","167,661.99"
FEDERAL HOME LN MTG CORP POOL ,2.50,09/01/51,"301,371.98","278,109.84","271,814.12"
FEDERAL HOME LN MTG CORP POOL ,2.50,09/01/51,"567,842.44","589,979.44","511,621.59"
FEDERAL HOME LN MTG CORP POOL ,4.63,09/15/43,"524,012.41","96,985.38","68,632.15"
FEDERAL HOME LN MTG CORP POOL ,3.00,05/01/51,"288,424.58","302,395.14","269,192.71"
FEDERAL HOME LN MTG CORP POOL ,2.50,10/01/51,"584,374.28","603,640.37","526,516.50"
FEDERAL HOME LN MTG CORP POOL ,4.50,06/01/50,"64,738.98","70,272.14","65,347.94"
FEDERAL HOME LN MTG CORP POOL ,3.50,07/01/50,"120,510.52","127,458.71","116,894.27"
FEDERAL HOME LN MTG CORP POOL ,3.00,08/01/50,"157,971.45","164,956.75","147,368.01"
FEDERAL HOME LN MTG CORP POOL ,2.00,02/01/51,"403,467.36","416,170.28","350,607.34"
FEDERAL HOME LN MTG CORP POOL ,2.50,02/01/51,"220,709.35","231,158.55","198,821.94"
FEDERAL HOME LN MTG CORP POOL ,2.50,04/01/51,"289,667.13","297,270.91","260,991.25"
FEDERAL HOME LN MTG CORP POOL ,2.50,05/01/51,"517,994.87","534,384.55","466,713.54"
FEDERAL HOME LN MTG CORP POOL ,2.50,07/01/51,"311,547.31","322,573.18","280,702.06"
FEDERAL HOME LN MTG CORP POOL ,4.50,07/01/52,"1,000,000.00","998,437.50","1,005,015.57"
FEDERAL HOME LN MTG CORP POOL ,4.00,01/01/48,"86,938.37","94,137.95","87,334.67"
FEDERAL HOME LN MTG CORP POOL ,3.00,08/01/46,"435,696.33","462,042.34","411,742.26"
FEDERAL HOME LN MTG CORP POOL ,3.50,11/01/47,"120,306.79","127,647.39","117,629.26"
FEDERAL HOME LN MTG CORP Q1745,3.50,04/01/43,"88,144.13","91,587.26","86,699.57"
FEDERAL HOME LN MTG CORP Q3386,4.00,06/01/45,"31,184.91","33,075.48","31,434.93"
FEDERAL HOME LN MTG CORP SR 00,4.43,10/25/49,"867,998.03","166,667.60","121,965.44"
FEDERAL HOME LN MTG CORP V8199,4.00,10/01/45,"69,186.60","72,867.55","69,311.42"
FEDERAL HOME LN MTG CORP#SD-81,2.00,07/01/51,"370,659.56","374,959.78","323,128.67"
FEDERAL HOME LOAN BANKS 2.5% 1,2.50,10/01/50,"257,399.70","270,149.03","232,211.08"
FEDERAL HOME LOAN MORTGAGE COR,2.00,05/01/36,"201,755.44","208,690.79","188,524.14"
FEDERAL HOME LOAN MORTGAGE COR,2.00,06/01/51,"274,669.39","276,997.64","239,448.69"
FEDERAL HOME LOAN MORTGAGE COR,2.50,09/01/51,"323,458.97","305,921.43","291,433.94"
FEDERAL HOME LOAN MORTGAGE COR,3.00,03/01/52,"195,899.14","197,689.79","182,668.63"
FEDERAL HOME LOAN MORTGAGE COR,3.50,04/01/52,"94,379.00","93,914.48","90,876.18"
